Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
GEM,101234-001,Samsonite Ascentra Carry-on Spinner Black,Black,,807,,,,,,,,,,,,,,,,,,,,
GEM,101245,Heritage Supply Pro Gear Backpack,Organize your tools and job site essentials with the Heritage Supply PRO Gear Backpack. The Heritage Supply PRO collection features durable and functional products specifically built for the tradesperson.,,,,,12,24,69.44,P,25,49,59.55,Q,50,99,51.99,R,100,200,49.98,R
GEM,101245-022,Heritage Supply Pro Gear Backpack Dark Grey,Dark Grey,,397,,,,,,,,,,,,,,,,,,,,
GEM,101245-260,Heritage Supply Pro Gear Backpack Dune,Dune,,874,,,,,,,,,,,,,,,,,,,,
GEM,101246,Heritage Supply Pro Gear Duffel,Organize your tools and job site essentials with the Heritage Supply PRO Gear Duffel. The Heritage Supply PRO collection features durable and functional products specifically built for the tradesperson.,,,,,12,24,69.44,P,25,49,59.55,Q,50,99,51.99,R,100,200,49.98,R
GEM,101246-022,Heritage Supply Pro Gear Duffel Dark Grey,Dark Grey,,327,,,,,,,,,,,,,,,,,,,,
GEM,101246-260,Heritage Supply Pro Gear Duffel Dune,Dune,,953,,,,,,,,,,,,,,,,,,,,
GEM,101248,Heritage Supply Pro XL Lunch Cooler,Pack all of your workday food and drink needs with the Heritage Supply PRO XL Lunch Cooler. The Heritage Supply PRO collection features durable and functional products specifically built for the tradesperson. Wipeable and water-resistant DWR (PCF-Free) coated polyester with the structured puddle-proof bottom.,,,,,12,24,55.55,P,25,49,47.64,Q,50,99,41.59,R,100,200,39.98,R
GEM,101248-022,Heritage Supply Pro XL Lunch Cooler Dark Grey,Dark Grey,,0,,,,,,,,,,,,,,,,,,,,
GEM,101248-260,Heritage Supply Pro XL Lunch Cooler Dune,Dune,,286,,,,,,,,,,,,,,,,,,,,
GEM,101249,Heritage Supply Pro Padfolio & Construction Pen Set,Safely store your paperwork and tablet with the Heritage Supply PRO Crossbody Padfolio & Construction Pen Set. The Heritage Supply PRO collection features durable and functional products specifically built for the tradesperson. Wipeable and water-resistant DWR (PCF-Free) coated polyester with large zippered exterior pockets.,,,,,8,24,59.71,P,25,49,51.21,Q,50,99,44.71,R,100,200,42.98,R
GEM,101249-022,Heritage Supply Pro Padfolio & Construction Pen Set Dark Grey,Dark Grey,,0,,,,,,,,,,,,,,,,,,,,
GEM,101249-260,Heritage Supply Pro Padfolio & Construction Pen Set Dune,Dune,,853,,,,,,,,,,,,,,,,,,,,
GEM,101251,Heritage Supply Pro Jug - 64 Oz.,Keep all your workday hydration needs cold with the Heritage Supply PRO Jug - 64 Oz. The Heritage Supply PRO collection features durable and functional products specifically built for the tradesperson. Double-walled and vacuum-insulated design keeps contents cold throughout the day.,,,,,20,49,48.6,P,50,99,41.68,Q,100,299,36.39,R,300,600,34.98,R
GEM,101251-245,Heritage Supply Pro Jug - 64 Oz. Dune Pearl,Dune Pearl,,2533,,,,,,,,,,,,,,,,,,,,
GEM,101251-922,Heritage Supply Pro Jug - 64 Oz. Black Pearl,Black Pearl,,1755,,,,,,,,,,,,,,,,,,,,
GEM,101252,Heritage Supply Pro Jug - 44 Oz.,Keep all your workday hydration needs cold with the Heritage Supply PRO Jug - 44 Oz. The Heritage Supply PRO collection features durable and functional products specifically built for the tradesperson. Double-walled and vacuum-insulated design keeps contents cold throughout the day.,,,,,20,49,41.66,P,50,99,35.73,Q,100,299,31.19,R,300,600,29.98,R
GEM,101252-245,Heritage Supply Pro Jug - 44 Oz. Dune Pearl,Dune Pearl,,3190,,,,,,,,,,,,,,,,,,,,
GEM,101252-922,Heritage Supply Pro Jug - 44 Oz. Black Pearl,Black Pearl,,5645,,,,,,,,,,,,,,,,,,,,
GEM,101253,Heritage Supply Pro Thermos Bottle - 44 Oz.,Carry your coffee or soup with you on the go with the Heritage Supply PRO Thermos Bottle - 44 Oz. The Heritage Supply PRO collection features durable and functional products specifically built for the tradesperson.,,,,,20,49,45.82,P,50,99,39.3,Q,100,299,34.31,R,300,600,32.98,R
GEM,101253-245,Heritage Supply Pro Thermos Bottle - 44 Oz. Dune Pearl,Dune Pearl,,2956,,,,,,,,,,,,,,,,,,,,
GEM,101253-922,Heritage Supply Pro Thermos Bottle - 44 Oz. Black Pearl,Black Pearl,,3727,,,,,,,,,,,,,,,,,,,,
GEM,101257,Igloo® Leftover Essentials Backpack Cooler,"Perfect sized backpack cooler to take on your next beach or park picnic adventure. Leak resistant, antimicrobial liner that’s easy to clean. Zippered opening to main compartment includes wide, doctor bag style internal frame for easy packing. Front zippered pocket and side mesh pocket for additional storage. Dual carry options with top grab handles and backpack straps.",,,,,20,49,45.12,P,50,99,38.7,Q,100,299,31.18,S,300,600,29.98,S
GEM,101257-086,Igloo® Leftover Essentials Backpack Cooler Heather Gray,Heather Gray,,0,,,,,,,,,,,,,,,,,,,,
GEM,101257-111,Igloo® Leftover Essentials Backpack Cooler Black & White Stripes,Black & White Stripes,,1,,,,,,,,,,,,,,,,,,,,
GEM,101258,Slowtide® Yoga Towel,"Versatile yoga towel designed to be used as a top layer for your yoga mat. Portable enough to take anywhere. Perfect for the studio, yoga at the park or beach, and travel.",,,,,8,24,75.22,P,25,49,64.51,Q,50,99,51.98,S,100,200,49.98,S
GEM,101258-162,Slowtide® Yoga Towel Marble,Marble,,1006,,,,,,,,,,,,,,,,,,,,
GEM,101260,Restore Hydration Bottle Sling,A hydration sling designed to carry everything you need to stay hydrated at the studio. This sling features ample organization but maintains a slim profile.,,,,,25,49,27.76,P,50,99,23.81,Q,100,299,20.78,R,300,600,19.98,R
GEM,101260-001,Restore Hydration Bottle Sling Black,Black,,1705,,,,,,,,,,,,,,,,,,,,
GEM,101261,Restore Sport Duffel,"Sporty duffel combining function and style specifically designed for yoga. Side zippered pocket that can hold a pair of shoes or a yoga block. Hidden slash and zippered pockets perfect for storing a smartphone, keys, or wallet.",,,,,12,24,69.43,P,25,49,59.54,Q,50,99,51.98,R,100,200,49.98,R
GEM,101261-001,Restore Sport Duffel Black,Black,,1543,,,,,,,,,,,,,,,,,,,,
GEM,101262,Restore 6mm Yoga Mat,A durable and functional yoga mat for your yoga and wellness needs.,,,,,25,49,34.7,P,50,99,29.76,Q,100,299,25.98,R,300,600,24.98,R
GEM,101262-762,Restore 6mm Yoga Mat Dove Grey,Dove Grey,,0,,,,,,,,,,,,,,,,,,,,
GEM,101263,Restore Yoga Block,A durable and functional yoga block for your yoga and wellness needs,,,,,100,299,11.09,P,300,599,9.51,Q,600,999,8.3,R,1000,2000,7.98,R
GEM,101263-762,Restore Yoga Block Dove Grey,Dove Grey,,149,,,,,,,,,,,,,,,,,,,,
GEM,101264,La Cuisine Potholder Hot Pad Set,"Can’t stand the heat? No need to leave the kitchen, just reach for one of these! The La Cuisine Potholder set includes 2 premium potholders to keep your hands safe from hot pans. Both sizes feature a non-slip silicone print and can double as trivets to protect your table too. Hang loops for easy storage. Soft terry-cloth interior lining. Silicone print for non-slip grip. Doubles as a trivet. Heat safe up to 400'F. Machine washable.",,,,,50,99,15.27,P,100,299,13.09,Q,300,999,11.43,R,1000,2000,10.98,R
GEM,101264-001,La Cuisine Potholder Hot Pad Set Black,Black,,10,,,,,,,,,,,,,,,,,,,,
GEM,101264-055,La Cuisine Potholder Hot Pad Set Grey,Grey,,753,,,,,,,,,,,,,,,,,,,,
GEM,101264-410,La Cuisine Potholder Hot Pad Set Navy,Navy,,23,,,,,,,,,,,,,,,,,,,,
GEM,101265,La Cuisine Prep Apron,The La Cuisine Cotton Apron features a cross-back strap design that adjusts to fit folks XS to XXL while taking pressure off your neck and distributing the weight across your shoulders and back for marathon-wearing comfort. Multiple pockets and thoughtful loop features allow you to accessorize and stay organized - ensuring that your ‘mise’ is always ‘en place.’ Adjustable straps allow you to customize fit. Chest pocket and dual front spacious pockets to hold utensils and your phone!,,,,,20,49,27.77,P,50,99,23.81,Q,100,299,20.79,R,300,600,19.98,R
GEM,101265-001,La Cuisine Prep Apron Black,Black,,1485,,,,,,,,,,,,,,,,,,,,
GEM,101265-050,La Cuisine Prep Apron Light Grey,Light Grey,,0,,,,,,,,,,,,,,,,,,,,
GEM,101265-410,La Cuisine Prep Apron Navy,Navy,,1697,,,,,,,,,,,,,,,,,,,,
GEM,101265-781,La Cuisine Prep Apron Niagara,Niagara,,136,,,,,,,,,,,,,,,,,,,,
GEM,101265-938,La Cuisine Prep Apron Barbados Cherry,Barbados Cherry,,1057,,,,,,,,,,,,,,,,,,,,
GEM,101267,La Cuisine Silicone Baking Utensils,"Stir, scrape, fold, and scoop your way to success with this set of La Cuisine silicone spatulas. This set includes a classic spatula and spoonula - both versatile essentials for better baking, frosting and meal making and a small offset scraper, perfect for smaller jobs or making sure you got ALL of the peanut butter out of the jar. The silicone heads are heat-resistant AND non-scratch, meaning they’re safe to use up to 400’F and will leave your bakeware and non-stick pans looking good as new.",,,,,25,49,24.99,P,50,99,21.43,Q,100,299,18.71,R,300,600,17.98,R
GEM,101267-001,La Cuisine Silicone Baking Utensils Black,Black,,673,,,,,,,,,,,,,,,,,,,,
GEM,101267-294,La Cuisine Silicone Baking Utensils Bone,Bone,,2043,,,,,,,,,,,,,,,,,,,,
GEM,101267-410,La Cuisine Silicone Baking Utensils Navy,Navy,,0,,,,,,,,,,,,,,,,,,,,
GEM,101268,Slowtide® Kitchen Towel,"These exclusive Slowtide towels are ideal for all kitchen endeavors. The perfect towel to have by your side when cooking, prepping, or drying off your dishes and hands. This versatile towel is ideal for adding an eco-friendly touch to a kitchen setting. Stylistically, the double-sided artistic design brings an elevated decor accent. Sustainably and ethically sourced. Made of premium linen cotton, this flat-weave dries quickly and easily absorbs moisture.",,,,,25,49,30.08,P,50,99,25.8,Q,100,299,20.79,S,300,600,19.98,S
GEM,101268-169,Slowtide® Kitchen Towel Orion-Bone,Orion-Bone,,867,,,,,,,,,,,,,,,,,,,,
GEM,101268-170,Slowtide® Kitchen Towel Orion-Charcoal,Orion-Charcoal,,2252,,,,,,,,,,,,,,,,,,,,
GEM,101276,Moleskine® Soft Cover Ruled Large Expanded Notebook,"This expanded version of the Classic Notebook has 400 pages and 2 ribbon bookmarks to capture and keep track of more ideas than ever. Flexible, softcover with rounded corners and elastic strap closure. Double ribbon bookmark. Ruled format. Expandable inner pocket. Ivory-colored 70 g/m² acid-free paper.  400 pages (200 sheets). Notebooks come packaged with a Moleskine branded paper band and are individually shrink-wrapped.",,,,,12,24,49.64,P,25,49,42.58,Q,50,99,34.31,S,100,200,32.98,S
GEM,101276-001,Moleskine® Soft Cover Ruled Large Expanded Notebook Black,Black,,0,,,,,,,,,,,,,,,,,,,,
GEM,101284,govino® Tritan™ Wine Glass Dishwasher Safe - 16 Oz.,"Made from Eastman Tritan™ Copolyester, Govino® was designed to showcase the aromatic and flavor profiles of any beverage.. Perfect for picnics, block parties, poolside, and more. Thin, crystal-like lip and contoured base. Patented, ergonomic thumb-notch provides a secure grip. Shatterproof, reusable, and ultimately recyclable. Proudly made in the USA. Dishwasher safe (domestic and commercial, top rack only). Well-suited for red wines.",,,,,100,299,6,P,300,599,5.14,Q,600,999,4.14,S,1000,2000,3.98,S
GEM,101284-000,govino® Tritan™ Wine Glass Dishwasher Safe - 16 Oz. Clear,Clear,,7672,,,,,,,,,,,,,,,,,,,,
GEM,101285,govino® Tritan™ Wine Glass Dishwasher Safe - 12 Oz.,"Made from Eastman Tritan™ Copolyester, Govino® was designed to showcase the aromatic and flavor profiles of any beverage. Perfect for picnics, block parties, poolside, and more. Thin, crystal-like lip and contoured base. Patented, ergonomic thumb-notch provides a secure grip. Shatterproof, reusable, and ultimately recyclable. Proudly made in the USA. Dishwasher safe (domestic and commercial, top rack only). Well-suited for white wines.",,,,,100,299,6,P,300,599,5.14,Q,600,999,4.14,S,1000,2000,3.98,S
GEM,101285-000,govino® Tritan™ Wine Glass Dishwasher Safe - 12 Oz. Clear,Clear,,9728,,,,,,,,,,,,,,,,,,,,
GEM,101287,govino® PETG Wine Glass Handwash - 16 Oz.,"Perfect for festivals, stadiums, and outdoor parties,Govino® handwash PETG glasses were designed to go where glass can't go. Thin, crystal-like lip and contoured base. Patented, ergonomic thumb-notch provides a secure grip. Shatterproof, reusable, and ultimately recyclable. Handwash only (marked on the base of the product). To avoid water spots, buff with a lint-free towel or paper cloth. Well-suited for red wines.",,,,,150,299,4.49,P,300,599,3.85,Q,600,999,3.1,S,1000,2000,2.98,S
GEM,101287-000,govino® PETG Wine Glass Handwash - 16 Oz. Clear,Clear,,0,,,,,,,,,,,,,,,,,,,,
GEM,101288,govino® PETG Wine Glass Handwash - 12 Oz.,"Perfect for festivals, stadiums, and outdoor parties,Govino® handwash PETG glasses were designed to go where glass can't go Thin, crystal-like lip and contoured base. Patented, ergonomic thumb-notch provides a secure grip. Shatterproof, reusable, and ultimately recyclable. Proudly made in the USA. Handwash only (marked on the base of the product). Well-suited for white wines.",,,,,150,299,4.49,P,300,599,3.85,Q,600,999,3.1,S,1000,2000,2.98,S
GEM,101288-000,govino® PETG Wine Glass Handwash - 12 Oz. Clear,Clear,,7410,,,,,,,,,,,,,,,,,,,,
GEM,101290,Out of The Woods™ Mini Shopper Gourmet Snacks Tote,"A stylistic update to the classic brown tote bag this item will be a memorable and purposeful gif. Includes pistachio cherry cookies, dipping pretzels, sweet and tangy mustard, berry nut mix, cinnamon seed bar and a maple waffle to naturally fuel your day all packaged in a reusable drawstring gift bag.",,,,,12,24,55.66,P,25,49,47.74,Q,50,99,38.47,S,100,200,36.98,S
GEM,101290-130,Out of The Woods™ Mini Shopper Gourmet Snacks Tote Stone,Stone,,665,,,,,,,,,,,,,,,,,,,,
GEM,101290-237,Out of The Woods™ Mini Shopper Gourmet Snacks Tote Sahara,Sahara,,665,,,,,,,,,,,,,,,,,,,,
GEM,101290-920,Out of The Woods™ Mini Shopper Gourmet Snacks Tote Ebony,Ebony,,665,,,,,,,,,,,,,,,,,,,,
GEM,101292,Out of The Woods™ Welcoming Walrus Gourmet Lunch Cooler,"A stylistic update to the classic brown paper bag lunch featuring a large opening to the main compartment of your lunch cooler with an inner mesh pocket to store your utensils. Includes pistachio cherry cookies, dipping pretzels, sweet and tangy mustard, berry nut mix, cinnamon seed bar and a maple waffle to naturally fuel your day all packaged in a reusable drawstring gift bag.",,,,,8,24,82.75,P,25,49,70.97,Q,50,99,57.19,S,100,200,54.98,S
GEM,101292-130,Out of The Woods™ Welcoming Walrus Gourmet Lunch Cooler Stone,Stone,,665,,,,,,,,,,,,,,,,,,,,
GEM,101292-920,Out of The Woods™ Welcoming Walrus Gourmet Lunch Cooler Ebony,Ebony,,665,,,,,,,,,,,,,,,,,,,,
GEM,101302,CORKCICLE® Commuter Cup - 9 Oz.,"Elevate every AM train ride, weekend trail trek, and moving moment with the all-new spill-proof Commuter Cup. Made from insulated stainless steel with a ceramic coated interior. Maintains cold beverages for up to 18 hours, hot beverages for up to 5 hours. Slim design to fit bike cages & most cup holders. All colors except Slate and Gold are dishwasher safe, top rack recommended. Please hand wash Slate and Gold colors. One-piece retail gift box included (3.0""L x 3.0""W x 5.4""H).",,,,,12,24,34.39,R
GEM,101302-006,CORKCICLE® Commuter Cup - 9 Oz. Matte Black,Matte Black,,1897,,,,,,,,,,,,,,,,,,,,
GEM,101302-100,CORKCICLE® Commuter Cup - 9 Oz. White,White,,1744,,,,,,,,,,,,,,,,,,,,
GEM,101303,CORKCICLE® Commuter Cup - 17 Oz.,"Elevate every AM train ride, weekend trail trek, and moving moment with the all-new spill-proof Commuter Cup. Made from insulated stainless steel with a ceramic coated interior. Maintains cold beverages for up to 18 hours, hot beverages for up to 5 hours. All colors except Slate and Gold are dishwasher safe, top rack recommended. One-piece retail gift box included (3.0""L 8.4""H 3.0""W).",,,,,8,16,39.19,R
GEM,101303-006,CORKCICLE® Commuter Cup - 17 Oz. Matte Black,Matte Black,,7824,,,,,,,,,,,,,,,,,,,,
GEM,101303-100,CORKCICLE® Commuter Cup - 17 Oz. White,White,,5129,,,,,,,,,,,,,,,,,,,,
GEM,101303-133,CORKCICLE® Commuter Cup - 17 Oz. Slate,Slate,,9611,,,,,,,,,,,,,,,,,,,,
GEM,101303-717,CORKCICLE® Commuter Cup - 17 Oz. Gold,Gold,,3512,,,,,,,,,,,,,,,,,,,,
GEM,101304,CORKCICLE® Classic Can Cooler,"This double-walled vacuum insulated stainless chiller easily locks can into place for minimal can movement. Features CORKCICLE's signature flat sides and silicone, non-slip bottom. Fits most 12 ounce aluminum cans and standard bottles.",,,,,20,40,20.79,R
GEM,101304-006,CORKCICLE® Classic Can Cooler Matte Black,Matte Black,,2414,,,,,,,,,,,,,,,,,,,,
GEM,101304-100,CORKCICLE® Classic Can Cooler White,White,,414,,,,,,,,,,,,,,,,,,,,
GEM,101305,CORKCICLE® Slim Can Cooler,"Secure the cool. Keep your favorite canned beverage 3x colder for 3x longer with CORKCICLE'S new Can Cooler. This double-walled vacuum insulated stainless chiller easily locks can into place for minimal can movement .Features CORKCICLE's signature flat sides and silicone, non-slip bottom. Slim, elongated fit to hold your favorite seltzers, specialty beers, and other beverages.",,,,,20,49,39.1,P,50,99,33.53,Q,100,299,27.02,S,300,600,25.98,S
GEM,101305-006,CORKCICLE® Slim Can Cooler Matte Black,Matte Black,,8046,,,,,,,,,,,,,,,,,,,,
GEM,101305-100,CORKCICLE® Slim Can Cooler White,White,,3752,,,,,,,,,,,,,,,,,,,,
GEM,101307,Moleskine® Hard Cover Ruled Large Smart Notebook,"At the heart of the Smart Writing Set is the Smart Notebook with its classic Moleskine shape and ivory-colored paper. Each page contains invisible Ncodes which allow the Smart Pen to create an instant digital copy of every word and sketch within the Moleskine Notes App. The Smart Notebook and Smart Pen amplify the benefits of handwriting, helping you to take your projects to the next level.",,,,,20,49,39.11,P,50,99,33.54,Q,100,299,27.03,S,300,600,25.98,S
GEM,101307-001,Moleskine® Hard Cover Ruled Large Smart Notebook Black,Black,,319,,,,,,,,,,,,,,,,,,,,
GEM,101308,Moleskine® Smart Writing Set - Ruled Large,"Every Smart Writing Set purchased helps fund the Moleskine Foundation’s programs to provide quality educational experiences for marginalized youth and help develop their creative and change-making skills. An instant-access kit that gives you a digital copy of every handwritten page. The Smart Writing Set includes the Smart Notebook with its recognizable Moleskine shape and ivory-colored pages, together with the redesigned Smart Pen and Notes App.",,,,,6,24,329.88,U,25,49,311.21,U,50,99,296.39,U,100,200,284.99,U
GEM,101308-001,Moleskine® Smart Writing Set - Ruled Large Black,Black,,1317,,,,,,,,,,,,,,,,,,,,
GEM,101311,Bicycle® You're The Real Deal Spades Game Gift Set,"This gift set features one of the world's most popular and loved card games... SPADES! The card holder snap closure on case keeps the deck neatly stored and ready for game night and the Bicycle® deck includes everything you need to make your next Spades game epic. Perfectly useful promotional swag, a great realtor housewarming gift or a memorable gift that can be used for any occasion, this item celebrates quality time and making memories with friends and family at home or on the road.",,,,,30,49,18.03,P,50,99,15.47,Q,100,299,13.5,R,300,600,12.98,R
GEM,101311-101,Bicycle® You're The Real Deal Spades Game Gift Set Natural,Natural,,2000,,,,,,,,,,,,,,,,,,,,
GEM,101313,Bicycle® Heritage Playing Cards Gift Set,"Perfectly useful promotional swag, a great realtor housewarming gift or a memorable gift that can be used for any occasion, this item celebrates quality time and making memories with friends and family at home or on the road. Hand illustrated deck by Cincinnati artist, James Billiter Classic Air-Cushion Finish® for ease of shuffling and optimum performance. Produced with non-toxic, water-based inks and starch-based adhesives.",,,,,30,49,18.03,P,50,99,15.47,Q,100,299,13.5,R,300,600,12.98,R
GEM,101313-101,Bicycle® Heritage Playing Cards Gift Set Natural,Natural,,2854,,,,,,,,,,,,,,,,,,,,
GEM,101314,Bicycle® Bourbon Connoisseur Playing Cards Gift Set,The rich and smoky deck of bourbon themed cards is the perfect compliment when you gather for your next card game. The card holder keeps the deck neatly stored and ready for game night and the Bicycle® deck includes everything you need to make your next Spades game epic. Create a bundle with Soirée Tritan Old Fashioned Tumbler or a whiskey glass or ice sphere. Vintage-inspired card back and illustrated custom court cards that clearly celebrate a Kentucky Bourbon tradition.,,,,,30,49,18.03,P,50,99,15.47,Q,100,299,13.5,R,300,600,12.98,R
GEM,101314-101,Bicycle® Bourbon Connoisseur Playing Cards Gift Set Natural,Natural,,2285,,,,,,,,,,,,,,,,,,,,
GEM,101316,Stonewall Kitchen New England Farmhouse Breakfast Gift Set,"A traditional New England breakfast is a memorable hearty feast and we've included everything needed to start the day off right. This bountiful and delicious breakfast includes two of our sleek Soleil Ceramic Mugs (4.72”L x 3.94”H x 3.15”W), individual mug boxes included.",,,,,6,24,106.52,P,25,49,94.02,Q,50,99,77.23,S,100,200,74.98,S
GEM,101316-415,Stonewall Kitchen New England Farmhouse Breakfast Gift Set Matte Navy,Matte Navy,,294,,,,,,,,,,,,,,,,,,,,
GEM,101317,Sharpie® S-Gel Metal Champagne Barrel,"Experience a high-performance gel pen with the Sharpie S-Gel Metal Barrel. With no smear, no bleed technology, this Sharpie pen delivers an exceptional writing experience. The gel ink pen features intensely bold colors for always vivid writing, while the contoured rubber grip provides you a comfortable writing experience during any writing task. It’s sleek design and matte finish make it a pen you’ll be hesitant to loan out.",,,,,100,199,3.72,P,200,499,3.35,Q,500,999,3.02,Q,1000,2000,2.72,R
GEM,101317-001,Sharpie® S-Gel Metal Champagne Barrel Black,Black,,51660,,,,,,,,,,,,,,,,,,,,
GEM,101317-436,Sharpie® S-Gel Metal Champagne Barrel Royal Blue,Royal Blue,,25376,,,,,,,,,,,,,,,,,,,,
GEM,101318,Sharpie® S-Gel Metal Gunmetal Barrel,"Experience a high-performance gel pen with the Sharpie S-Gel Metal Barrel. With no smear, no bleed technology, this Sharpie pen delivers an exceptional writing experience. The gel ink pen features intensely bold colors for always vivid writing, while the contoured rubber grip provides you a comfortable writing experience during any writing task. It’s sleek design and matte finish make it a pen you’ll be hesitant to loan out.",,,,,100,199,3.72,P,200,499,3.35,Q,500,999,3.02,Q,1000,2000,2.72,R
GEM,101318-001,Sharpie® S-Gel Metal Gunmetal Barrel Black,Black,,28059,,,,,,,,,,,,,,,,,,,,
GEM,101318-436,Sharpie® S-Gel Metal Gunmetal Barrel Royal Blue,Royal Blue,,42308,,,,,,,,,,,,,,,,,,,,
GEM,101319,Sharpie® Roller Pen,"Experience a high-performance roller pen with the Sharpie Roller. Engineered for precision, the pen features an arrow point tip with a 0.5mm tip. Premium metal clip that provides a professional finish. Translucent grip helps to quickly identify the ink color. 1 color imprint only, white ink recommended. Please note: ink color matches color chip. Model # ROLLER",,,,,200,499,3.52,P,500,999,3.16,Q,1000,2499,2.84,Q,2500,5000,2.57,R
GEM,101319-001,Sharpie® Roller Pen Black,Black,,19947,,,,,,,,,,,,,,,,,,,,
GEM,101319-436,Sharpie® Roller Pen Royal Blue,Royal Blue,,48429,,,,,,,,,,,,,,,,,,,,
GEM,101319-610,Sharpie® Roller Pen Red,Red,,76006,,,,,,,,,,,,,,,,,,,,
GEM,101321,Samsonite Mobile Solution Convertible Waist Pack,"Chic solutions for the modern professional. A comprehensive offering of travel and lifestyle essentials, the Mobile Solution Collection features superior functionality in timeless, lightweight styles. Water resistant coating on the nylon body material. Convertible: 4 ways to wear.  Waist Pack, Fanny Pack, Crossbody, Sling. Main zippered compartment, sized to fit most standard wallets and on-the-go necessities. RFID protected front pocket to safeguard essentials.",,,,,12,24,52.65,P,25,49,45.16,Q,50,99,36.39,S,100,200,34.98,S
GEM,101321-001,Samsonite Mobile Solution Convertible Waist Pack Black,Black,,435,,,,,,,,,,,,,,,,,,,,
GEM,101322,Samsonite Mobile Solution Essential Backpack,"Chic solutions for the modern professional. A comprehensive offering of travel and lifestyle essentials, the Mobile Solution Collection features superior functionality in timeless, lightweight styles. Water resistant coating on the nylon body material. Essentially all you need. This easy, lightweight backpack offers the perfect blend of organization and minimalistic design ensuring it's work ready or everyday practical.",,,,,8,24,105.32,P,25,49,90.33,Q,50,99,72.79,S,100,200,69.98,S
GEM,101322-001,Samsonite Mobile Solution Essential Backpack Black,Black,,294,,,,,,,,,,,,,,,,,,,,
GEM,101323,Samsonite Classic Business Everyday Computer Backpack,"An update to our iconic Classic Collection, the aesthetic reflects a modern, tailored approach to business while still embodying a multifunctional, everyday appeal. Fully featured with plenty of organization, the option to store multiple laptops, tech, and accessories. Large main compartment for storage of cords, files, books, and clothes.",,,,,8,24,75.22,P,25,49,64.51,Q,50,99,51.98,S,100,200,49.98,S
GEM,101323-001,Samsonite Classic Business Everyday Computer Backpack Black,Black,,717,,,,,,,,,,,,,,,,,,,,
GEM,101324,Samsonite Classic Business Perfect Fit Two Gusset Computer Portfolio,"Fully featured with plenty of organization, option to store multiple laptops, tech, and accessories. Dedicated, padded compartment, sized to fit most laptops up to 17"". Exterior organization includes 1 quick access pocket for smaller items, 1 larger pocket with organization to store essentials, a lined phone pocket, 2 pen sleeves, and business card sleeves. SmartSleeve™ fits over most upright handles for hassle-free combination travel.",,,,,6,24,127.88,P,25,49,109.68,Q,50,99,88.38,S,100,200,84.98,S
GEM,101324-001,Samsonite Classic Business Perfect Fit Two Gusset Computer Portfolio Black,Black,,211,,,,,,,,,,,,,,,,,,,,
GEM,101325,Samsonite Classic Business Perfect Fit Computer Backpack,"Large main compartment for storage of cords, files, books, and clothes. Exterior organization includes 1 quick access pocket for smaller items, 1 larger pocket with organization to store essentials, lined phone pocket, 2 pen sleeves, and business card sleeves. Dedicated, padded compartment, sized to fit most laptops up to 15.6"". Unzips to lay flat for fast and easy screening at the airport without removing the laptop. Stackit™ Strap fits over most upright handles for easy mobility.",,,,,8,24,105.31,P,25,49,90.32,Q,50,99,72.78,S,100,200,69.98,S
GEM,101325-001,Samsonite Classic Business Perfect Fit Computer Backpack Black,Black,,104,,,,,,,,,,,,,,,,,,,,
GEM,101326,Osprey Transporter® Duffel 65,"Built with ruggedly dependable, weather-resistant fabrics, the Transporter® Duffel 65 is great for gear-intensive weekends or longer",,,,,6,24,214.12,S,25,49,202,S,50,99,192.38,S,100,200,184.98,S
GEM,101326-001,Osprey Transporter® Duffel 65 Black,Black,,158,,,,,,,,,,,,,,,,,,,,
GEM,101329,Parker Sonnet Rollerball,"The Sonnet fine writing line combines emblematic features of PARKER with its timeless design, its high-quality feel, and its arrow clip. Handcrafted and individually checked for flawless quality, Sonnet is a classic expression of refined style. With an array of designs, every intricate detail is skillfully executed to bring sophistication to every writing occasion. Fine stainless steel tip for flawless writing. Hand-assembled and checked for flawless quality.",,,,,15,29,181.6,P,30,49,181.6,P,50,99,181.6,P,100,200,181.6,P
GEM,101329-182,Parker Sonnet Rollerball Black - Silver Trim,Black - Silver Trim,,9,,,,,,,,,,,,,,,,,,,,
GEM,101329-183,Parker Sonnet Rollerball Black - Gold Trim,Black - Gold Trim,,21,,,,,,,,,,,,,,,,,,,,
GEM,101329-186,Parker Sonnet Rollerball Stainless Steel - Silver Trim,Stainless Steel - Silver Trim,,33,,,,,,,,,,,,,,,,,,,,
GEM,101329-187,Parker Sonnet Rollerball Stainless Steel - Gold Trim,Stainless Steel - Gold Trim,,33,,,,,,,,,,,,,,,,,,,,
