Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
Hub,101,Aeropure Stylus Pen,"For the ultimate promo pen package, look no further. The Aeropure features a
citrus-scented antibacterial sanitizer spray with 62% alcohol and functional
stylus to allow you to operate touch screens hands-free and clean your hands
when you must touch a surface. With a large imprint space front and center, your
brand is sure to stand out. Pen is operated by a twist-action retraction and
comes through the stylus tip when extended.
Hub,320BLUE/BLUE,Translucent Blue with Blue Ink (Default),Translucent Blue with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,320BRN/BLK,Translucent Brown with Black Ink,Translucent Brown with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,320BRN/BLUE,Translucent Brown with Blue Ink (Default),Translucent Brown with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,320GRN/BLK,Translucent Green with Black Ink,Translucent Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,320GRN/BLUE,Translucent Green with Blue Ink (Default),Translucent Green with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,320RED/BLK,Translucent Red with Black Ink,Translucent Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,320RED/BLUE,Translucent Red with Blue Ink (Default),Translucent Red with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,3202,Foreman Pencil,"Quality #2 pencil with a large imprint area. 6 classic colors with gold ferrule
and pink eraser.
Material: Wood
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 4"" W x 0.88"" H Barrel
Tip Type: Graphite
Standard Packaging: Bulk
Tags: Wood, School, test, popular, golf, gambling, lotto, lottery,
advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, trade show, #2",,,,,576,1007,0.36,A,1008,5039,0.34,A,5040,10079,0.32,A,10080,20160,0.3,A
Hub,3202PCBLACK,Black,Black,,0,,,,,,,,,,,,,,,,,,,,
Hub,3202PCDKGRN,Green,Green,,0,,,,,,,,,,,,,,,,,,,,
Hub,3202PCRED,Red,Red,,0,,,,,,,,,,,,,,,,,,,,
Hub,3202PCRYLBLUE,Royal Blue,Royal Blue,,0,,,,,,,,,,,,,,,,,,,,
Hub,3202PCWHITE,White,White,,0,,,,,,,,,,,,,,,,,,,,
Hub,3202PCYEL,Yellow,Yellow,,0,,,,,,,,,,,,,,,,,,,,
Hub,3202N,Neon Foreman Pencil,"Quality #2 pencil comes with a large imprint area. Vivid neon brights with black
ferrule and matching neon eraser.
Material: Wood
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 4"" W x 0.88"" H Barrel
Tip Type: Graphite
Standard Packaging: Bulk
Tags: Wood, School, test, popular, golf, gambling, lotto, lottery,
advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, trade show, #2",,,,,576,1007,0.41,A,1008,5039,0.37,A,5040,10079,0.35,A,10080,20160,0.33,A
Hub,3202PCNEONGRN,Neon Green,Neon Green,,0,,,,,,,,,,,,,,,,,,,,
Hub,3202PCNEONORG,Neon Orange,Neon Orange,,0,,,,,,,,,,,,,,,,,,,,
Hub,3202PCNEONPINK,Neon Pink,Neon Pink,,0,,,,,,,,,,,,,,,,,,,,
Hub,3202PCNEONYEL,Neon Yellow,Neon Yellow,,0,,,,,,,,,,,,,,,,,,,,
Hub,321,Javalina™ Executive Pen,"Vibrant executive colors with bright white accents give maximum imprint impact.
Guaranteed ultra-smooth writing cartridge and top quality construction make this
one to hang onto. Black or blue ink, blue ink default.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=321/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.67,A,500,999,0.61,A,1000,4999,0.54,A,5000,10000,0.5,A
Hub,321BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,321BLK/BLUE,Black with Blue Ink (Default),Black with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,321BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,321BLUE/BLUE,Blue with Blue Ink (Default),Blue with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,321GRN/BLK,Green,Green,,0,,,,,,,,,,,,,,,,,,,,
Hub,321GRN/BLUE,Green with Blue Ink (Default),Green with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,321RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,321RED/BLUE,Red with Blue Ink (Default),Red with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,322,Javalina™ Classic Pen,"Crisp white barrels are accented with bright classic colors to make your imprint
pop. Guaranteed ultra-smooth writing cartridge and top quality construction make
this a top seller in the industry. Black or blue ink, blue ink default.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=322/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.67,A,500,999,0.61,A,1000,4999,0.54,A,5000,10000,0.5,A
Hub,322WhitewithBlackInk,White with Black Ink,White with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,322WhitewithBlueInk,White with Blue Ink,White with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,322BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,322BLK/BLUE,Black with Blue Ink (Default),Black with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,322BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,322BLUE/BLUE,Blue with Blue Ink (Default),Blue with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,322GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,322GRN/BLUE,Green with Blue Ink (Default),Green with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,322RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,322RED/BLUE,Red with Blue Ink (Default),Red with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,323,Javalina™ Tropical Pen,"Exciting and fun, cool tropical colors and black accents make your imprint pop.
Guaranteed ultra-smooth writing cartridge and top quality construction provide
lasting writing enjoyment. Black or blue ink, blue ink default.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=323/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.67,A,500,999,0.61,A,1000,4999,0.54,A,5000,10000,0.5,A
Hub,323GRN/BLK,Lime Green with Black Ink,Lime Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,323GRN/BLUE,Lime Green with Blue Ink (Default),Lime Green with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,323ORA/BLK,Orange with Black Ink,Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,323ORA/BLUE,Orange with Blue Ink (Default),Orange with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,323PINK/BLK,Pink with Black Ink,Pink with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,323PINK/BLUE,Pink with Blue Ink (Default),Pink with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,323YEL/BLK,Yellow with Black Ink,Yellow with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,323YEL/BLUE,Yellow with Blue Ink (Default),Yellow with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,324,Javalina™ Corporate Pen,"Deep corporate colors with silver accents give this pen high-end looks.
Guaranteed ultra-smooth writing cartridge and top quality construction make this
a top seller in the industry. Black or blue ink, blue ink default
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=324/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.67,A,500,999,0.61,A,1000,4999,0.54,A,5000,10000,0.5,A
Hub,324BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,324BLK/BLUE,Black with Blue Ink (Default),Black with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,324BLUE/BLK,Dark Blue with Black Ink,Dark Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,324BLUE/BLUE,Dark Blue with Blue Ink (Default),Dark Blue with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,324BURG/BLK,Burgundy with Black Ink,Burgundy with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,324BURG/BLUE,Burgundy with Blue Ink (Default),Burgundy with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,324GRN/BLK,Forest Green with Black Ink,Forest Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,324GRN/BLUE,Forest Green with Blue Ink (Default),Forest Green with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,326,Javalina™ Splash Pen,"Fun, funky colors frame crisp white barrels to give your imprint splashy impact.
Guaranteed ultra-smooth writing cartridge and top quality construction make this
pen a top seller in the industry. Black or blue ink, blue ink default.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=326/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.67,A,500,999,0.61,A,1000,4999,0.54,A,5000,10000,0.5,A
Hub,326LIME/BLK,Lime with Black Ink,Lime with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,326LIME/BLUE,Lime with Blue Ink (Default),Lime with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,326ORA/BLK,Orange with Black Ink,Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,326ORA/BLUE,Orange with Blue Ink (Default),Orange with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,326PINK/BLK,Pink with Black Ink,Pink with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,326PINK/BLUE,Pink with Blue Ink (Default),Pink with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,326PUR/BLK,Purple with Black Ink,Purple with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,326PUR/BLUE,Purple with Blue Ink (Default),Purple with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,326SKY/BLK,Sky with Black Ink,Sky with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,326SKY/BLUE,Sky with Blue Ink (Default),Sky with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,327,Piper Pen,"Chunky hourglass shape in vivid brights with matching color rubber grip. Jumbo
dimpled comfort grip and ultrasmooth writing blue ink for writing enjoyment.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.13"" W x 0.63"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=327/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,1.07,A,500,999,0.98,A,1000,4999,0.92,A,5000,10000,0.84,A
Hub,327BLUE/BLUE,Blue with Blue Ink,Blue with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,327GRN/BLUE,Lime Green with Blue Ink,Lime Green with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,327PINK/BLUE,Pink with Blue Ink,Pink with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,327PUR/BLUE,Lavender with Blue Ink,Lavender with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,327RED/BLUE,Red with Blue Ink,Red with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,327WHT/BLUE,White with Blue Ink,White with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,327YEL/BLUE,Yellow with Blue Ink,Yellow with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,328,Javalina™ Breeze Pen,"Bright sorbet colors and crisp white trim make a cool statement. Guaranteed
ultra-smooth writing cartridge and top quality construction make this pen a top
seller in the industry. Black or blue ink, blue ink default.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=328/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.67,A,500,999,0.61,A,1000,4999,0.54,A,5000,10000,0.5,A
Hub,328BLUE/BLK,Baby Blue with Black Ink,Baby Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,328BLUE/BLUE,Baby Blue with Blue Ink (Default),Baby Blue with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,328GRN/BLK,Spring Green with Black Ink,Spring Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,328GRN/BLUE,Spring Green with Blue Ink (Default),Spring Green with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,328ORA/BLK,Coral Orange with Black Ink,Coral Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,328ORA/BLUE,Coral Orange with Blue Ink (Default),Coral Orange with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,328PINK/BLK,Rose Pink with Black Ink,Rose Pink with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,328PINK/BLUE,Rose Pink with Blue Ink (Default),Rose Pink with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,328YEL/BLK,Lemon Yellow with Black Ink,Lemon Yellow with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,328YEL/BLUE,Lemon Yellow with Blue Ink (Default),Lemon Yellow with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,329,Javalina™ Midnight Pen,"Glossy black barrels framed by neon brights make your imprint pop. Guaranteed
ultra-smooth writing cartridge and top quality construction make this pen a top
seller in the industry. Black or blue ink, blue ink default.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=329/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,0.67,A,500,999,0.61,A,1000,4999,0.54,A,5000,10000,0.5,A
Hub,329BLK/BLK,All Black with Black Ink,All Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,329BLK/BLUE,All Black with Blue Ink (Default),All Black with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,329LIME/BLK,Neon Green with Black Ink,Neon Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,329LIME/BLUE,Neon Green with Blue Ink (Default),Neon Green with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,329PUR/BLK,Lilac Purple with Black Ink,Lilac Purple with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,329PUR/BLUE,Lilac Purple with Blue Ink (Default),Lilac Purple with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,329RED/BLK,Fire Engine Red with Black Ink,Fire Engine Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,329RED/BLUE,Fire Engine Red with Blue Ink (Default),Fire Engine Red with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,329SKY/BLK,Sky Blue with Black Ink,Sky Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,329SKY/BLUE,Sky Blue with Blue Ink (Default),Sky Blue with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,331,"Javalina™ Metallic Stylus Pen (Pat #D709,949)","Multifunction upgrade to our most popular pen. The metallic jewel tone barrels
with brushed silver trim feature a handy stylus tip for effortless texting and
scrolling. Includes guaranteed ultrasmooth blue or black ink. Patent Number
D709,949.
Patent: US Pat. 8,847,930 & 9,092,077
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=331/]
Standard Packaging: Bulk
Tags: popular, plastic, tech, accessory, phone, tablet, tradeshow, trade, show,
desk, office, advertisement, college, grade, writing, merchandise, study, high
school, university, home",,,,,250,499,0.94,A,500,999,0.86,A,1000,4999,0.79,A,5000,10000,0.75,A
Hub,331BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,331BLK/BLUE,Black with Blue Ink,Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,331BLUE/BLK,Indigo Blue with Black Ink,Indigo Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,331BLUE/BLUE,Indigo Blue with Blue Ink,Indigo Blue with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,331GRN/BLK,Emerald Green with Black Ink,Emerald Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,331GRN/BLUE,Emerald Green with Blue Ink,Emerald Green with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,331ORA/BLK,Burnt Orange with Black Ink,Burnt Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,331ORA/BLUE,Burnt Orange with Blue Ink,Burnt Orange with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,331RED/BLK,Garnet Red with Black Ink,Garnet Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,331RED/BLUE,Garnet Red with Blue Ink,Garnet Red with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,332,"Javalina™ Classic Stylus Pen (Pat #D709,949)","Fun and functional! This handy stylus tip is specially designed for increased
connectivity for better interaction with your tech devices. The crisp white
barrels and classic colored trim will frame your imprint perfectly. Available in
black ultra-smooth writing ink. Patent Number D709,949.
Patent: US Pat. 8,847,930 & 9,092,077
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=332/]
Standard Packaging: Bulk
Tags: popular, plastic, tech, accessory, phone, tablet, tradeshow, trade, show,
desk, office, advertisement, college, grade, writing, merchandise, study, high
school, university, home",,,,,250,499,0.94,A,500,999,0.86,A,1000,4999,0.79,A,5000,10000,0.71,A
Hub,332RED/BLUE,Red with Blue Ink (Default),Red with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,332PatrioticwithBlackInk,Patriotic with Black Ink,Patriotic with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,332BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,332BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,332GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,332RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,333,Javalina® Metallic Comfort Stylus Pen,"Soft touch addition to the Javalina® Stylus line. Features vivid metallic jewel
tones and silver trim. Your choice of blue (default) or black ultrasmooth ink.
Patent: US Pat. 8,847,930 & 9,092,077
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location, Black or White imprint only
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=333/]
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,250,499,1.05,A,500,999,0.97,A,1000,4999,0.9,A,5000,10000,0.83,A
Hub,333BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,333BLK/BLUE,Black with Blue Ink (Default),Black with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,333BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,333BLUE/BLUE,Blue with Blue Ink (Default),Blue with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,333GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,333GRN/BLUE,Green with Blue Ink (Default),Green with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,333ORA/BLK,Orange with Black Ink,Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,333ORA/BLUE,Orange with Blue Ink (Default),Orange with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,333RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,333RED/BLUE,Red with Blue Ink (Default),Red with Blue Ink (Default),,0,,,,,,,,,,,,,,,,,,,,
Hub,334,Rita Writer Pen,"Economical pull cap stick pen features ribbed grip. Generous imprint area.
Guaranteed ultrasmooth writing black ink.
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 2.5"" W x 0.75"" H Barrel
Tip Type: Ballpoint
Mechanism: Pull Cap
Standard Packaging: Bulk
Tags: plastic, cost effective, popular, pen, tradeshow, trade, show, desk,
office, advertisement, college, grade, writing, merchandise, study, high school,
university, essay, list, home",,,,,500,999,0.43,A,1000,4999,0.38,A,5000,9999,0.36,A,10000,20000,0.35,A
Hub,334BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,334BLUE/BLK,Blue with Black Ink,Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,334GRN/BLK,Green with Black Ink,Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,334RED/BLK,Red with Black Ink,Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336,"Javalina™ Chrome Stylus Pen (Pat #D709,949)","A multifunction upgrade to our most popular pen. With a brushed silver barrel
with metallic jewel tone trim, the handy stylus tip for effortless texting and
scrolling. Features guaranteed ultrasmooth blue or black ink. Patent Number
D709,949.
Patent: US Pat. 8,847,930 & 9,092,077
Material: Plastic
Standard Decoration Includes: 1 Color, 1 Location
All Available Decoration Options:
Silk Screen: 1.5"" W x 0.75"" H Barrel
Full Color: 2"" W x 0.25"" H Full Color Barrel
Tip Type: Ballpoint
Mechanism: Push Retractable
Click Here For Virtual Proofing Tool [https://www.hpgspectra.com/?item=336/]
Standard Packaging: Bulk
Tags: popular, plastic, tech, accessory, phone, tablet, tradeshow, trade, show,
desk, office, advertisement, college, grade, writing, merchandise, study, high
school, university, home",,,,,250,499,0.94,A,500,999,0.86,A,1000,4999,0.79,A,5000,10000,0.75,A
Hub,336BLK/BLK,Black with Black Ink,Black with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336BLK/BLUE,Black with Blue Ink,Black with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336BLUE/BLK,Indigo Blue with Black Ink,Indigo Blue with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336BLUE/BLUE,Indigo Blue with Blue Ink,Indigo Blue with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336GRN/BLK,Emerald Green with Black Ink,Emerald Green with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336GRN/BLUE,Emerald Green with Blue Ink,Emerald Green with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336ORA/BLK,Burnt Orange with Black Ink,Burnt Orange with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336ORA/BLUE,Burnt Orange with Blue Ink,Burnt Orange with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336RED/BLK,Garnet Red with Black Ink,Garnet Red with Black Ink,,0,,,,,,,,,,,,,,,,,,,,
Hub,336RED/BLUE,Garnet Red with Blue Ink,Garnet Red with Blue Ink,,0,,,,,,,,,,,,,,,,,,,,
